spanish,french,category,icon,tags,notes,cloze,french_sentence
antiguo / antigua,ancien / vieux,adjetivos,,reference adjectifs,El mapa antiguo muestra la entrada secreta.,(ancien / vieux) El mapa {{c1::antiguo}} muestra la entrada secreta.,La carte ancienne montre l'entrée secrète.
pesado / pesada,lourd,adjetivos,,reference adjectifs,La armadura del paladín es muy pesada.,(lourd) La armadura del paladín es muy {{c1::pesada}}.,L'armure du paladin est très lourde.
ligero / ligera,léger,adjetivos,,reference adjectifs,El arco del elfo es ligero y fácil de llevar.,(léger) El arco del elfo es {{c1::ligero}} y fácil de llevar.,L'arc de l'elfe est léger et facile à porter.
cerca,près,adverbios,,reference adjectifs,La aldea está cerca del bosque encantado.,(près) La aldea está {{c1::cerca}} del bosque encantado.,Le village est près de la forêt enchantée.
lejos,loin,adverbios,,reference adjectifs,El castillo del rey está muy lejos de aquí.,(loin) El castillo del rey está muy {{c1::lejos}} de aquí.,Le château du roi est très loin d'ici.
cercano / cercana,proche,adjetivos,,reference adjectifs,El pueblo cercano tiene un mercado con pociones.,(proche) El pueblo {{c1::cercano}} tiene un mercado con pociones.,Le village proche a un marché avec des potions.
lejano / lejana,lointain / éloigné,adjetivos,,reference adjectifs,Los héroes viajan a un reino lejano.,(lointain / éloigné) Los héroes viajan a un reino {{c1::lejano}}.,Les héros voyagent vers un royaume lointain.
importante,important(e),adjetivos,,reference adjectifs,La misión del gremio es muy importante.,(important(e)) La misión del gremio es muy {{c1::importante}}.,La mission de la guilde est très importante.
extraño / extraña,étrange / bizarre,adjetivos,,reference adjectifs,Un sonido extraño viene de la cueva.,(étrange / bizarre) Un sonido {{c1::extraño}} viene de la cueva.,Un son étrange vient de la grotte.
enorme,énorme,adjetivos,,reference adjectifs,Un dragón enorme duerme sobre un montón de oro.,(énorme) Un dragón {{c1::enorme}} duerme sobre un montón de oro.,Un dragon énorme dort sur un tas d'or.
vacío / vacía,vide,adjetivos,,reference adjectifs,La sala del trono está vacía y silenciosa.,(vide) La sala del trono está {{c1::vacía}} y silenciosa.,La salle du trône est vide et silencieuse.
poderoso / poderosa,puissant(e),adjetivos,,reference adjectifs,El hechicero es poderoso y controla el fuego.,(puissant(e)) El hechicero es {{c1::poderoso}} y controla el fuego.,Le sorcier est puissant et contrôle le feu.
mojado / mojada,mouillé(e),adjetivos,,reference adjectifs,El suelo de la cueva está mojado y resbaladizo.,(mouillé(e)) El suelo de la cueva está {{c1::mojado}} y resbaladizo.,Le sol de la grotte est mouillé et glissant.
seco / seca,sec / sèche,adjetivos,,reference adjectifs,El desierto del sur es seco y caliente.,(sec / sèche) El desierto del sur es {{c1::seco}} y caliente.,Le désert du sud est sec et chaud.
útil,utile,adjetivos,,reference adjectifs,La cuerda del explorador es muy útil en la mazmorra.,(utile) La cuerda del explorador es muy {{c1::útil}} en la mazmorra.,La corde de l'explorateur est très utile dans le donjon.
silencioso / silenciosa,silencieux(se),adjetivos,,reference adjectifs,El pícaro es silencioso y se mueve entre las sombras.,(silencieux(se)) El pícaro es {{c1::silencioso}} y se mueve entre las sombras.,Le roublard est silencieux et se déplace dans les ombres.
frío / fría,froid(e),adjetivos,,reference adjectifs,La mazmorra del norte es fría y oscura.,(froid(e)) La mazmorra del norte es {{c1::fría}} y oscura.,Le donjon du nord est froid et sombre.
caliente,chaud(e),adjetivos,,reference adjectifs,La lava del volcán está muy caliente.,(chaud(e)) La lava del volcán está muy {{c1::caliente}}.,La lave du volcan est très chaude.
primero / primera,premier / première,adjetivos,,reference adjectifs,El guerrero es el primero en entrar a la mazmorra.,(premier / première) El guerrero es el {{c1::primero}} en entrar a la mazmorra.,Le guerrier est le premier à entrer dans le donjon.
penúltimo / penúltima,avant-dernier / avant-dernière,adjetivos,,reference adjectifs,La penúltima sala de la mazmorra esconde una trampa.,(avant-dernier / avant-dernière) La {{c1::penúltima}} sala de la mazmorra esconde una trampa.,L'avant-dernière salle du donjon cache un piège.
último / última,dernier / dernière,adjetivos,,reference adjectifs,El último nivel de la mazmorra es el más peligroso.,(dernier / dernière) El {{c1::último}} nivel de la mazmorra es el más peligroso.,Le dernier niveau du donjon est le plus dangereux.
