spanish,french,category,icon,tags,notes,cloze,french_sentence
el escudo,le bouclier,armadura,sbed/shield.svg,reference armadura,El guerrero bloquea con su escudo.,(bouclier) El guerrero bloquea con su {{c1::escudo}}.,Le guerrier bloque avec son bouclier.
el yelmo,le heaume / casque,armadura,lorc/visored-helm.svg,reference armadura,El caballero se pone el yelmo.,(heaume) El caballero se pone el {{c1::yelmo}}.,Le chevalier met son heaume.
la capa,la cape,ropa,lucasms/cloak.svg,reference ropa,El mago lleva una capa oscura.,(cape) El mago lleva una {{c1::capa}} oscura.,Le mage porte une cape sombre.
las botas de cuero,les bottes de cuir,ropa,lorc/boots.svg,reference ropa,El explorador lleva botas de cuero.,(bottes de cuir) El explorador lleva {{c1::botas de cuero}}.,L'explorateur porte des bottes de cuir.
el saco de dormir,le sac de couchage,equipo,delapouite/bed.svg,reference equipo,El aventurero usa su saco de dormir.,(sac de couchage) El aventurero usa su {{c1::saco de dormir}}.,L'aventurier utilise son sac de couchage.
la mochila,le sac à dos,equipo,delapouite/backpack.svg,reference equipo,La aventurera guarda las pociones en su mochila.,(sac à dos) La aventurera guarda las pociones en su {{c1::mochila}}.,L'aventurière range les potions dans son sac à dos.
la cuerda,la corde,equipo,delapouite/rope-coil.svg,reference equipo,La cuerda sirve para escalar.,(corde) {{c1::La cuerda}} sirve para escalar.,La corde sert à escalader.
la antorcha,la torche,equipo,delapouite/torch.svg,reference equipo,La antorcha ilumina la mazmorra.,(torche) {{c1::La antorcha}} ilumina la mazmorra.,La torche éclaire le donjon.
el sílex y el pedernal,le briquet (silex et amadou),equipo,sbed/fire.svg,reference equipo,Usa el sílex y el pedernal para hacer fuego.,(briquet) Usa el {{c1::sílex y el pedernal}} para hacer fuego.,Utilise le briquet pour faire du feu.
la ración de viaje,la ration de voyage,equipo,delapouite/bread.svg,reference equipo,Comemos una ración de viaje en el camino.,(ration de voyage) Comemos una {{c1::ración de viaje}} en el camino.,On mange une ration de voyage en route.
la bolsa de monedas,la bourse,equipo,delapouite/coins.svg,reference equipo,El pícaro guarda su bolsa de monedas.,(bourse) El pícaro guarda su {{c1::bolsa de monedas}}.,Le roublard garde sa bourse.
las monedas de oro,les pièces d'or (po),dinero,willdabeast/gold-bar.svg,reference dinero,El grupo tiene diez monedas de oro.,(pièces d'or) El grupo tiene diez {{c1::monedas de oro}}.,Le groupe a dix pièces d'or.
las monedas de plata,les pièces d'argent (pa),dinero,delapouite/coins.svg,reference dinero,El mercader cobra monedas de plata.,(pièces d'argent) El mercader cobra {{c1::monedas de plata}}.,Le marchand demande des pièces d'argent.
las monedas de cobre,les pièces de cuivre (pc),dinero,delapouite/coins.svg,reference dinero,El mendigo pide unas monedas de cobre.,(pièces de cuivre) El mendigo pide unas {{c1::monedas de cobre}}.,Le mendiant demande des pièces de cuivre.
la poción de curación,la potion de soin,magia,lorc/potion-ball.svg,reference magia,El clérigo da una poción de curación.,(potion de soin) El clérigo da una {{c1::poción de curación}}.,Le clerc donne une potion de soin.
el antídoto,l'antidote,magia,lorc/potion-ball.svg,reference magia,La druida prepara un antídoto contra el veneno.,(antidote) La druida prepara un {{c1::antídoto}} contra el veneno.,La druide prépare un antidote contre le venin.
el componente de hechizo,la composante de sort,magia,lorc/magic-swirl.svg,reference magia,El mago busca un componente de hechizo.,(composante de sort) El mago busca un {{c1::componente de hechizo}}.,Le mage cherche une composante de sort.
