spanish,french,category,icon,tags,notes,cloze,french_sentence
la escuela de conjuración,école de conjuration,magia,lorc/magic-swirl.svg,reference escuelas,La escuela de conjuración permite invocar criaturas y teletransportarse.,(conjuration) {{c1::La escuela de conjuración}} permite invocar criaturas y teletransportarse.,L'école de conjuration permet d'invoquer des créatures et de se téléporter.
la escuela de adivinación,école de divination,magia,delapouite/egg-eye.svg,reference escuelas,La escuela de adivinación revela secretos ocultos y permite ver el futuro.,(divination) {{c1::La escuela de adivinación}} revela secretos ocultos y permite ver el futuro.,L'école de divination révèle des secrets cachés et permet de voir l'avenir.
la escuela de encantamiento,école d'enchantement,magia,lorc/music-spell.svg,reference escuelas,La escuela de encantamiento permite controlar la mente de los enemigos.,(enchantement) {{c1::La escuela de encantamiento}} permite controlar la mente de los enemigos.,L'école d'enchantement permet de contrôler l'esprit des ennemis.
la escuela de evocación,école d'évocation,magia,sbed/fire.svg,reference escuelas,La escuela de evocación canaliza energía pura para causar daño elemental.,(évocation) {{c1::La escuela de evocación}} canaliza energía pura para causar daño elemental.,L'école d'évocation canalise l'énergie pure pour infliger des dégâts élémentaires.
la escuela de ilusión,école d'illusion,magia,lorc/hidden.svg,reference escuelas,La escuela de ilusión crea imágenes falsas para engañar a los enemigos.,(illusion) {{c1::La escuela de ilusión}} crea imágenes falsas para engañar a los enemigos.,L'école d'illusion crée de fausses images pour tromper les ennemis.
la escuela de nigromancia,école de nécromancie,magia,lorc/skull-crack.svg,reference escuelas,La escuela de nigromancia manipula la energía de la muerte y los no-muertos.,(nécromancie) {{c1::La escuela de nigromancia}} manipula la energía de la muerte y los no-muertos.,L'école de nécromancie manipule l'énergie de la mort et des morts-vivants.
la escuela de transmutación,école de transmutation,magia,lorc/recycle.svg,reference escuelas,La escuela de transmutación transforma la materia y altera la realidad.,(transmutation) {{c1::La escuela de transmutación}} transforma la materia y altera la realidad.,L'école de transmutation transforme la matière et altère la réalité.
,,,,,,,
,,,,,,,
,,,,,,,
